ID,First Name,Last Name,Department,Hire Date,Salary,Column1
101,Grace,Zane,Legal, 25-07-2016 ,58000,Grace Devis
102,Oliver,Davis,Sales, 2016-01-19 ,74000,Oliver Devis
103,John,Davis,Operations,06/21/2017,120000,John Devis
104,Nina,Smith,Finance, 2016-09-28 ,142000,Nina Devis
105,Mike,Sazs,Marketing,44418,148000,Mike Devis
106,Charles,Davis,Hr,44503,125000,Charles Devis
107,Nina,Zane,Others, 2022-06-01 ,143000,Nina Devis
107,Nina,Zane,Others, 2022-06-01 ,143000,Nina Devis
108,Mike,Garcia,Operations,43436,126000,Mike Devis
109,Donna,Zane,Finance, 14-11-2022 ,127000,Donna Devis
110,Grace,Paulsen,R&D,43559,126000,Grace Devis
111,Jessica,Thomas,Legal,42343,96000,Jessica Devis
112,Harvey,Robinson,R&D, 09-06-2019 ,103000,Harvey Devis
113,Louis,Pearson,Operations, 2019-01-22 ,62000,Louis Devis
114,Mike,Harris,It, 2022-01-14 ,146000,Mike Devis
115,Frank,Ross,R&D,44024,115000,Frank Devis
116,John,Thomas,Finance,44837,59000,John Devis
117,Donna,Forstman,Finance, 2020-08-12 ,109000,Donna Devis
118,Nina,Anderson,Legal,09/18/2016,142000,Nina Devis
119,Kevin,Robinson,Sales,42433,148000,Kevin Devis
120,Sara,Pearson,R&D, 11-10-2015 ,143000,Sara Devis
121,Hannah,Hayes,Operations, 17-05-2017 ,141000,Hannah Devis
122,Harvey,Jackson,Marketing, 30-11-2019 ,102000,Harvey Devis
123,Jessica,Ross,Legal, 2021-08-07 ,45000,Jessica Devis
124,Grace,Jane,Sales, 2018-09-15 ,110000,Grace Devis
124,Grace,Jane,Sales, 2018-09-15 ,110000,Grace Devis
125,Hannah,Hayes,Others, 27-05-2021 ,105000,Hannah Devis
126,Benjamin,Martin,Hr, 02-02-2016 ,100000,Benjamin Devis
127,Daniel,Forstman,Hr,42164,138000,Daniel Devis
128,Nina,Zane,Legal,44317,62000,Nina Devis
129,Alex,Forstman,R&D, 2021-03-04 ,51000,Alex Devis
130,David,Thompson,Legal,42715,107000,David Devis
131,Nina,Sazs,Operations,42248,78000,Nina Devis
132,Laura,Forstman,R&D, 2016-09-26 ,82000,Laura Devis
133,Sara,Wilson,Sales,07/20/2021,109000,Sara Devis
133,Sara,Wilson,Sales,07/20/2021,109000,Sara Devis
134,Claire,Paulsen,Others, 2017-01-31 ,121000,Claire Devis
135,Nina,Pearson,Legal, 29-06-2021 ,50000,Nina Devis
136,Daniel,Thomas,Legal, 06-07-2022 ,85000,Daniel Devis
137,Sheila,Litt,Marketing, 2015-10-25 ,103000,Sheila Devis
138,Emma,Zane,Finance,06/26/2016,53000,Emma Devis
139,Robert,Bennett,Finance, 10-11-2021 ,112000,Robert Devis
140,Michael,Davis,Others,42467,59000,Michael Devis
141,Julia,Davis,Finance, 2021-10-13 ,136000,Julia Devis
142,Hannah,Anderson,Sales, 14-01-2016 ,99000,Hannah Devis
143,Sara,Smith,Finance, 23-10-2016 ,101000,Sara Devis
144,Daniel,Davis,Hr, 2022-10-01 ,114000,Daniel Devis
144,Daniel,Davis,Hr, 2022-10-01 ,114000,Daniel Devis
145,Robert,Wilson,It,06/21/2015,91000,Robert Devis
146,Laura,Garcia,Legal, 2022-08-25 ,130000,Laura Devis
147,Kevin,Davis,Legal, 2016-10-27 ,97000,Kevin Devis
148,Julia,Robinson,Legal, 2017-12-28 ,145000,Julia Devis
149,Sheila,Garcia,Legal,03/28/2017,89000,Sheila Devis
150,Laura,Garcia,Sales, 2022-05-27 ,96000,Laura Devis
151,Nina,Ross,Operations, 15-08-2022 ,87000,Nina Devis
152,Rachel,Martinez,Finance, 2015-06-06 ,121000,Rachel Devis
153,Julia,Martin,Hr, 27-04-2019 ,69000,Julia Devis
154,Ian,Hardman,Legal,01/31/2019,53000,Ian Devis
155,Paula,Wheeler,Finance,44052,130000,Paula Devis
156,Sheila,Jackson,Others, 19-09-2019 ,93000,Sheila Devis
157,Oliver,Paulsen,Sales,05/29/2018,71000,Oliver Devis
158,Emma,Taylor,R&D, 17-12-2019 ,72000,Emma Devis
159,Laura,Martinez,Others, 12-10-2020 ,126000,Laura Devis
160,Mike,Thompson,Legal, 2016-08-26 ,50000,Mike Devis
161,Benjamin,Taylor,Operations, 23-01-2022 ,69000,Benjamin Devis
162,Sheila,Hayes,It, 11-05-2022 ,45000,Sheila Devis
162,Sheila,Hayes,It, 11-05-2022 ,45000,Sheila Devis
163,Nina,Harris,Legal, 21-12-2016 ,111000,Nina Devis
164,David,Pearson,It, 18-03-2020 ,112000,David Devis
165,Frank,Wheeler,Operations,02/22/2021,65000,Frank Devis
166,Benjamin,Forstman,Finance,43962,125000,Benjamin Devis
167,Charles,Ross,Finance,43291,114000,Charles Devis
168,Louis,Pearson,Legal,09/21/2015,97000,Louis Devis
169,Charles,Hardman,Operations, 15-05-2019 ,134000,Charles Devis
170,Oliver,Harris,Sales,43416,141000,Oliver Devis
171,Oliver,Thompson,Legal, 2020-06-22 ,79000,Oliver Devis
172,John,Sazs,Operations, 2023-02-14 ,104000,John Devis
173,Frank,Davis,Sales, 10-12-2015 ,99000,Frank Devis
174,Charles,Paulsen,Operations, 2018-09-02 ,103000,Charles Devis
175,Kevin,Martinez,Operations, 2017-10-30 ,105000,Kevin Devis
176,David,Jane,Hr, 2022-04-23 ,141000,David Devis
177,Jessica,Specter,It, 23-04-2020 ,59000,Jessica Devis
178,Harvey,Forstman,It, 17-10-2021 ,140000,Harvey Devis
179,Kevin,Thompson,Hr, 2021-06-28 ,84000,Kevin Devis
180,Paula,Sazs,Legal, 22-02-2016 ,143000,Paula Devis
181,Hannah,Taylor,Marketing,12/22/2020,129000,Hannah Devis
182,Claire,Anderson,Operations, 2020-06-30 ,100000,Claire Devis
183,Grace,Martinez,It, 07-11-2020 ,79000,Grace Devis
184,Paula,Davis,Operations, 14-03-2023 ,79000,Paula Devis
185,Jessica,Thompson,R&D,09/25/2017,117000,Jessica Devis
186,Sheila,Wheeler,Marketing,01/14/2017,72000,Sheila Devis
187,Alex,Wheeler,Finance, 2021-03-26 ,111000,Alex Devis
188,Mike,Pearson,Legal,09/29/2022,127000,Mike Devis
189,Charles,Martin,Finance,06/26/2017,133000,Charles Devis
190,Hannah,Wilson,Marketing, 09-10-2019 ,115000,Hannah Devis
191,Ian,Forstman,Finance, 2017-08-02 ,137000,Ian Devis
192,Rachel,White,Legal,43988,137000,Rachel Devis
193,Kevin,Miller,Legal, 2018-04-28 ,91000,Kevin Devis
194,John,Jackson,Sales, 12-08-2015 ,82000,John Devis
195,Louis,Anderson,Sales,44445,105000,Louis Devis
